Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
CAPRILE,CAGLIARI,P,"7,5",7.5,0,0,0,0,0,0,0,0,5
MANDAS,LAZIO,P,"10,5",7.5,0,0,0,0,3,0,0,0,5
MARTINEZ,INTER,P,"4,5",6.5,-2,0,0,0,0,0,0,0,5
MURIC,SASSUOLO,P,"2,5",4.5,-2,0,0,0,0,0,0,0,5
OKOYE,UDINESE,P,5,6,-1,0,0,0,0,0,0,0,5
PERRI,TORINO,P,5,6,-1,0,0,0,0,0,0,0,5
SKORUPSKI,BOLOGNA,P,3,4,-1,0,0,0,0,0,0,0,5
STANKOVIC,VENEZIA,P,"3,5",5.5,-2,0,0,0,0,0,0,0,5
SVILAR,ROMA,P,"4,5",6.5,-2,0,0,0,0,0,0,0,5
TORNQVIST,MONZA,P,6,7,-1,0,0,0,0,0,0,0,5
ABANKWAH,UDINESE,D,6,6,0,0,0,0,0,0,0,0,5
AKANJI M,INTER,D,"5,5",6,0,0,-0.5,0,0,0,0,0,5
BAKOUNE A,MONZA,D,6,6,0,0,0,0,0,0,0,0,5
BALERDI ROSA,ROMA,D,7,7,0,0,0,0,0,0,0,0,5
BASTONI A,INTER,D,"5,5",6,0,0,-0.5,0,0,0,0,0,5
BELGHALI R,TORINO,D,"5,5",6,0,0,-0.5,0,0,0,0,0,5
BIRINDELLI S,MONZA,D,7,6.5,0,0,-0.5,0,0,0,0,1,5
BISSECK,INTER,D,"6,5",5.5,0,0,0,0,0,0,1,0,5
CALETA-CAR,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,5
CARBONI A,MONZA,D,6,6,0,0,0,0,0,0,0,0,5
CARLOS AUGUSTO,INTER,D,"6,5",6.5,0,0,0,0,0,0,0,0,5
CHABY MANGAS,MONZA,D,6,6,0,0,0,0,0,0,0,0,5
CINQUEGRANO S,SASSUOLO,D,5,5,0,0,0,0,0,0,0,0,5
COCO S,TORINO,D,6,6,0,0,0,0,0,0,0,0,5
COMERT,TORINO,D,6,6,0,0,0,0,0,0,0,0,5
CORREIA T,VENEZIA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,5
DE SILVESTRI,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,5
DIMARCO,INTER,D,"5,5",5.5,0,0,0,0,0,0,0,0,5
DOIG,SASSUOLO,D,"5,5",5.5,0,0,0,0,0,0,0,0,5
EBOSSE,UDINESE,D,"5,5",5.5,0,0,0,0,0,0,0,0,5
FLORIANI MR,LAZIO,D,5,5,0,0,0,0,0,0,0,0,5
FORTINI N,TORINO,D,"5,5",5.5,0,0,0,0,0,0,0,0,5
GHILARDI,ROMA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,5
HAINAUT,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,5
HEGGEM,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,5
HELLAND,BOLOGNA,D,6,6,0,0,0,0,0,0,0,0,5
HERMOSO M,ROMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,5
